time,latitude,longitude,depth,mag
2016-04-15T06:51:41.200Z,"18.8752","-67.5556",23,"2.6"
2016-04-15T05:49:31.000Z,"63.0652","-150.8789","125.9","3.8"
2016-04-15T05:46:33.590Z,"35.2403333","-116.9201667","9.05","2.85"
2016-04-15T05:36:27.800Z,"19.4969","-64.8489",14,"3.7"
2016-04-15T04:50:11.180Z,"2.0302","127.0468","88.77","5.5"
2016-04-15T04:27:56.530Z,"-32.1612","-71.8122","22.56","4.6"
2016-04-15T03:59:06.651Z,"41.8165","-119.6808","6.6","2.6"
2016-04-15T03:42:59.550Z,"-14.5099","166.7053","3.69","5.4"
2016-04-15T03:41:57.300Z,"17.8784","-66.0917",13,"2.6"
2016-04-15T02:11:22.000Z,"57.0373","-157.9141","15.7","3.1"
2016-04-15T01:34:57.000Z,"57.0211","-157.8633","13.2","2.7"
2016-04-15T00:45:48.100Z,"14.4817","-92.7391","78.85","4.1"
2016-04-15T00:22:56.000Z,"59.7311","-153.0077","113.3","2.6"
2016-04-15T00:20:23.180Z,"-38.8319","176.3535","86.17","4.3"
2016-04-15T00:03:47.280Z,"-14.2567","166.5526","17.31","4.6"
2016-04-14T23:27:56.000Z,"13.27","-89.6",60,"4.1"
2016-04-14T23:24:01.210Z,"-2.0039","-77.7042","169.84","4.3"
2016-04-14T23:15:07.060Z,"-7.4814","128.0652","129.34","5.7"
2016-04-14T22:50:46.530Z,"-12.2865","-76.2767","86.46","4.4"
2016-04-14T22:46:53.770Z,"32.8035","130.7293",10,"4.5"
2016-04-14T22:43:18.210Z,"-39.3702","174.7621","174.67","4.4"
2016-04-14T22:32:19.630Z,"36.6015","-97.6796","3.01","2.6"
2016-04-14T22:29:56.850Z,"32.8434","130.7907",10,"4.6"
2016-04-14T22:27:14.210Z,"40.2266667","-125.008","3.28","2.68"
2016-04-14T22:23:27.890Z,"-14.1776","166.5343",10,"5.2"
2016-04-14T22:23:04.940Z,"36.6161667","-121.2231667","5.45","2.56"
2016-04-14T21:50:27.630Z,"-14.5225","166.3518",16,"6.4"
2016-04-14T20:10:37.420Z,"32.7543","130.6936",10,"4.7"
2016-04-14T19:40:40.480Z,"-6.7912","129.2936","169.84","4.3"
2016-04-14T19:34:29.000Z,"56.959","-157.8461","8.5","2.6"
2016-04-14T18:41:43.900Z,"18.9705","-65.1364",29,"2.7"
2016-04-14T18:29:19.070Z,"36.2495","141.8077","25.09","4.6"
2016-04-14T17:44:53.900Z,"-32.126","-71.9035",10,"4.3"
2016-04-14T17:14:36.370Z,"32.7126","130.6708",10,"4.5"
2016-04-14T16:53:02.380Z,"32.6963","130.7673","11.83","4.6"
2016-04-14T16:45:21.120Z,"-20.435","-175.0775",10,"4.9"
2016-04-14T16:44:33.510Z,"-0.5627","-11.6063",10,"5.2"
2016-04-14T16:44:07.300Z,"18.7639","-67.3041",15,"2.6"
2016-04-14T15:50:31.370Z,"32.7418","130.7274",10,"4.5"
2016-04-14T15:49:44.300Z,"18.7856","-67.0654",28,"2.9"
2016-04-14T15:34:17.420Z,"32.6976","130.7594",10,"4.7"
2016-04-14T15:25:39.830Z,"34.1347","138.3386","269.64","4.5"
2016-04-14T15:18:39.400Z,"19.4505","-64.8488",9,"3.4"
2016-04-14T15:18:16.000Z,"57.227","-157.6855","9.5","3.2"
2016-04-14T15:15:03.400Z,"18.1025","-64.9588",10,3
2016-04-14T15:12:54.900Z,"18.1009","-64.9578",7,"3.2"
2016-04-14T15:06:22.190Z,"32.7069","130.7012",10,"5.3"
2016-04-14T15:03:46.920Z,"32.6934","130.732","5.96",6
2016-04-14T15:03:24.900Z,"18.0851","-64.9766",7,"2.7"
2016-04-14T15:00:47.400Z,"18.1007","-64.9636",8,"3.6"
2016-04-14T14:48:18.360Z,"-5.7236","149.4523","154.22","4.7"
2016-04-14T14:43:41.610Z,"32.7827","130.7582",10,"4.9"
2016-04-14T14:29:58.010Z,"32.7517","130.726",10,"4.6"
2016-04-14T14:29:39.000Z,"19.4449","-64.755",66,3
2016-04-14T14:28:13.540Z,"32.7849","130.7453",10,"4.5"
2016-04-14T14:23:05.600Z,"40.3771","53.0612","43.29","4.5"
2016-04-14T13:52:13.000Z,"54.1581","-162.4959","28.9","3.7"
2016-04-14T13:43:15.950Z,"32.7042","130.6956",10,"4.5"
2016-04-14T13:38:43.640Z,"32.6854","130.7106",10,"4.8"
2016-04-14T13:33:56.800Z,"18.096","-64.9903",7,"2.5"
2016-04-14T13:22:19.310Z,"32.6832","130.646",10,"4.8"
2016-04-14T13:07:35.990Z,"32.7877","130.8354",10,"5.4"
2016-04-14T13:05:25.600Z,"19.4808","-64.8052",29,"3.1"
2016-04-14T13:03:52.190Z,"14.4613","-92.8049","71.83","4.4"
2016-04-14T13:01:02.000Z,"62.1221","-149.5756","60.1","2.9"
2016-04-14T12:49:46.100Z,"19.4235","-64.873",31,"3.7"
2016-04-14T12:42:25.080Z,"32.5779","130.6361",10,"4.8"
2016-04-14T12:26:36.430Z,"32.8494","130.6345",10,"6.2"
